,school,overview,review title,review star,Instructors,Curriculum,Job Assistance,Overall Experience,Comments,pros,cons
10,WeCloudData,4.8/5,Excellent All in One Program,5,5,4,5,5,"Prior to joining the WeCloudData boot camp I already had an extensive Data Science experience both through self-learning as well as thorough my experience in previous jobs. After relocating to Canada last year, I decided to build a strong data science network and the best option I came across was enrolling in WeCloudData Data Science and Big Data Program. The program not only connected me with the talented Data Science community in Toronto but also provided me with opportunity to work on some...See more","Client Projects
Supportive Instructors and TA's
Networking Opportunities",Big Data part of the program was a bit rushed
11,WeCloudData,4.8/5,The best bootcamp very satisfied,5,5,5,5,5,I really enjoyed my Bootcamp with wecouddata. Everyone was so supportive and experienced. ,"Instructors and TAs were knowledgeable. They were very supportive. 
I had the best experience. ",Everything was perfect but the course material is intensive you need to work hard but after that you will learn a lot.
12,WeCloudData,4.8/5,Great experience,5,5,4,5,5,I joined WeCloudData in November 2021 and graduated in June 2022. I got a job offer in August 2022. Great faculty and Instructures ,Very dedicated staff and faculty. Materials were so intensive but you learn a lot during this bootcamp,The only negative thing is the material is so intensive. You need to spend lots of time on the course materials but if you do so you will learn a lot
13,WeCloudData,4.8/5,Best bootcamp for data science 😀,5,5,5,5,5,"I started my journey as a Mechanical Engineer. Making a career transition was hard decision to make. I learned basics of Python and SQL before joining a boot-camp. All the teachers and professors have played an important role shaping my professional career. With the decent fees structure, WeCloud provides classes and necessary materials which I believe is better than other programs. I would definitely recommend this program for all the career switchers. Awesome career service  provider. Mentors...See more",Their care for the students’ well being and their ability to cater to all learning styles was one of the keys to my success. All the TAs were there to help at any stage of learning. One of the best things about this program is lecture...See more,I attended all the classes through online. I would love if we can go back to the offline lectures.
14,WeCloudData,4.8/5,Best DS program in Canada!!!,5,5,5,5,5,"The staff at WCD are very professional and supportive. Especially Tianshu and Ernesto, they are very quick response and willing to help me with questions even in late nigh! BTW, They are technical skills are amazing. 
Besides, This program give you the opportunities to work in the real client project, so that I can truly apply my learnings and skills to solve the real business problem. Based on my experience, real client projects are the most valuable experience for beginner like me to land job...See more","- The staff at WCD are very professional and supportive. 
-  Two real client projects are the most valuable experiences for me.",- Intensive bootcamp.
15,WeCloudData,4.8/5,Great experience,5,5,5,5,5,"I have learnt so many useful tecknical skills throughout the bootcamp, which are helpful to my job hunting. ","Useful technical skills, great teachers and TAs","online course, personally prefer in class course"
16,WeCloudData,4.8/5,Great way to enter into the world of Data Analytics,5,5,5,5,5,"I had a great experience with the Business Intelligence bootcamp. Coming from a different industry, i was unsure of the best way to enter into the world of Data Analytics. The Bootcamp is beginner-friendly and well structured, teaching skills like SQL, Tableau, and Python taught by experienced instructors working in the industry. I got to work on projects using skills I learned, that I could add to my portfolio. The Icing on the cake is the included Mentorship program and help with the job...See more","- Beginner-friendly
- Work on projects that you can add to your portfolio
- Career guidance and referrals 
","- Can't really think of any but if i had to pick one, i'd say it is an intensive course so you need to self-study and review materials especially when learning Python."
17,WeCloudData,4.8/5,A boost for your smooth career switch,4,5,5,5,4,"I became familiar with WCD in early January 2021 when I was struggling to land a job in the field of mechanical engineering. Things were not going in the right direction and I was barely successful in even landing interviews. Although I had done a lot of self-learning using platforms such as udemy, coursera, etc., it was WCD Bootcamp that gave me the big picture of how real-world problems get tackled by the hands of data scientists, engineers, and AI specialists. Even homework practices were...See more","Job Preparation, Career Support, Great Curriculum, and more ",Intensive program
18,WeCloudData,4.8/5,Experience with WeCloudData,5,4,5,5,5,The course is only a few months long but allows you to have an insight of what the field is like. It was intense working full time and taking the course at night but worth it in the end. I now work as a junior business analyst.,The instructors are amazing. They are patient and provide assistance if you are stuck. The material is enough to prepare you for what is out there. They go through real life scenarios with I benefited from the most.,Python could have been a bit more detailed as that was the topic most struggled with. 
19,WeCloudData,4.8/5,Experience with WeCloudData,5,4,5,5,5,The course allows you to get an insight if you really want to pursue a field with data. I took the data analytics course and loved it! It was intense working full time and joining the night classes but it paid off in the end. I am now a Junior Business Analyst. ,I instructors are amazing. They are patient and go over material with you if you are stuck. They provide real life scenarios which prepare you for what is out there. The material is detailed enough to get you started in your new journey. ,There could have been a bit more focus on python as that was the most challenging program to understand. 
20,WeCloudData,4.8/5,Great experience !,5,4,5,3,5,I would recommend this course to anyone who is serious about Data Science and can devote time and effort to learning.,I liked the quality of the exercises we worked on. They needed one to be good with fundamentals.,"I did not have a negative experience. Though,I would have loved it had the duration of the course been a little longer. May be, in the initial month or two we could cover absolute basics of Python and Statistics."
21,WeCloudData,4.8/5,Great Experience,5,5,5,5,5,"I had the pleasure to share this experience with professionals from different industries, several were not related to science, math, or physics. The age range was surprisingly wide, from 50 to 20's approximately and the cultural background was also very diverse. The instructors were able to explain thoroughly and promptly in way that made no one uncomfortable. They would take extra time, offline, with the slower pace students and would offer to answer extra questions asynchronously to achieve...See more","Instructors work in the industry and are always willing to help
Schedule is after work hours and also offer recordings
Price bracket is lower than many other programs","It's from 7pm to 10pm or a bit later, depending on the amount of questions. 
It's from Monday to Thursday, rain or shine."
22,WeCloudData,4.8/5,Great data analytics program,4,4,5,4,4,"Definitely one of the best data analyst program, providing a lot of hands on projects regards to different industries, has a variety topics, in-depth sql and python exercises leads to the success of the interviews! Recommend if you navigate internet this area!","Topics on various topics regarding different industries, exposure to various of tools, great ta support and job support ",Don’t really have cons
23,WeCloudData,4.8/5,One of the best decisions of my life! Brilliant faculty and great course structure!,5,5,5,5,5,"I had almost 5 years of experience in Telecom and I have a Masters degree in Electronics and Communication Engineering. Always admired Data related jobs but I knew nothing about SQL, Python or Machine learning. Today, I can gladly say that I have been successful in achieving what I aspired. I am working as a Revenue Assurance Analyst at Rogers now, and if I had not taken this course; learned SQL, Python, Tableau and machine learning (which was definitely required for this role), I would have...See more",Very dedicated faculty! ,"I did not experience anything negative! As long as you have the right questions to ask, someone is always there to answer!"
24,WeCloudData,4.8/5,Very comprehensive bootcamp for BI/DA,5,5,5,5,5,Truly is a career-changing program. ,"-Very friendly to career switcher as it starts from the ground (basic SQL,Python, Excel, Tableau, Power BI).
-Then it builds up more in depth with different case studies from different industries, where you get to combine different tools...See more","Honestly I cannot think of anything bad, but here are a few reminders :
-If you want to fully digest everything in the bootcamp within a short period of time, you need to work a few extra hours every week. For instance, SQL and Python...See more"
25,WeCloudData,4.8/5,Best Decision I made,5,5,5,5,5,I took 2 programs with wcd and landed on a great job. Started with data science and ended with data engineering. ,"- Real work experience that goes directly into your resume
- Experienced staff who actually work in the data fields with relevant academic background
- Bridge your skills from other countries with a Canadian experience
- Perfect options of...See more","- For work experience you have to be available most days of the week
- A lof of self study is needed but that’s the case with all colleges"
26,WeCloudData,4.8/5,Amazing bootcamp!!,5,5,5,5,5,Great Bootcamp as instructors are really amazing!!,I was really impressed by reading all the reviews in switchup and google and the main thing what attracted me more towards the program was the internship as it provides the opportunity to work with some amazing companies.I did my bachelors...See more,"there is no cons, everything is great!!"
27,WeCloudData,4.8/5,The BEST career decision I have made enrolling with WeCloudData Applied Data Science and Big Data bootcamp program.,5,5,5,5,5,"I believe this career switch decision will change my life and journey for a much better future.
I started the program in the pre-bootcamp stage, to take advantage of the Python and SQL coding warmup before things got officially started.  Also, tried to take advantage of the major discount if completing payment almost a month or two before start date.
The program demands your comfort in Python and SQL for the best success you can get.
As the weeks went by, quiz after quiz, assignment after...See more","- Pre-bootcamp preparation for Python and SQL to help newbies warmed up since the program needs you to be relatively comfortable
- Very wide variety of content touching aspects of ETL, Machine Learning, Big Data technologies, AWS Cloud...See more","(Not really cons, but I have nothing else to say)
- the pace of the course is heavy, material is coming fast and in abundance more as the weeks move onward, so be ready to work super hard and spending many hours working through challenging...See more"
28,WeCloudData,4.8/5,Excellent Data Engineering!,5,5,5,5,5,"I took WeCloudData's Data Engineering Diploma program as I wanted to move my career into a more Data Engineering oriented role.  The instructors were great in teaching us everything from the tools, such as Spark and AirFlow, to the languages involved, like Python and Scala.  The 2 personal projects that we did required us to build a batch and a real time pipeline and were excellent at applying and cementing what was learned.  The course also did a great job in helping with resume preparation,...See more","1. In depth study material and videos
2. Great project guidance
3. Very helpful instructors",1. Covid meant that the course is online and I would have preferred an in person class
29,WeCloudData,4.8/5,I was lucky to choose WeCloudData,5,5,5,5,5,"Courses are intensive, but I learned a lot.
TAs are knowledgable, can ask them any questions I am curious about. 
The real client projects which were the main aspect that I chose WeCloudData, helped me a lot to land my current job.","Highly recommend the full-time data science diploma program.
1. The comprehensive course design which allows you to fully know the data science industry in many aspects.
2. A lot of presentations/practices opportunities which directly...See more","It was fully remote courses and client projects. Totally understand due to the Covid. Highly recommend if possible, provide the hybrid way of learning."
30,WeCloudData,4.8/5,I was lucky to choose WeCloudData,5,5,5,5,5,"Courses are intensive, but I learned a lot.
TAs are knowledgable, can ask them any questions I am curious about. 
The real client projects which were the main aspect that I chose WeCloudData, helped me a lot to land my current job.","Highly recommend the full-time data science diploma program.
1. The comprehensive course design which allows you to fully know the data science industry in many aspects.
2. A lot of presentations/practices opportunities which directly...See more","It was fully remote courses and client projects. Totally understand due to the Covid. Highly recommend if possible, provide the hybrid way of learning."
31,WeCloudData,4.8/5,To launch a new career in Data Science,5,5,5,5,5,"Even though I was uncertain about switching careers, I am really glad that I made my decision to join WeCloudData Data Science Bootcamp. I've learned a lot of technical skills through the program which is very practical (in the projects, interviews, jobs). Indeed, a big THANK YOU to the whole faculty - an extremely supportive team. :) They are not only teaching you the knowledge but also helping you to pursue and land your first journey in data science. ",Very practical technical skills and an extremely supportive team.,"I'm very satisfied based on my experience, so no cons."
32,WeCloudData,4.8/5,Best Career Transition School for Engineers,5,5,5,5,5,"WeCloudData has a practical approach for career transitioner like me. When the data jobs grows I already familiar with big data such as 3D models, PLC/DCS/IoT, Geospatial but data science need more skills in Python, SQL, Machine Learning and PySpark. I never work in finance for example but WeCloudData helped me in developing mortgage completion models shorturl.at/dguNT shorturl.at/ajnwM","Relatively less expensive compared to other boot camps as WeCloudData probably has more sustainable supply of course instructors, mature students, dedicated client project managers and career mentors that enable them to offer competitive...See more","The outcome is depending on every individual background and contribution. The boot camp also accepts student with no to little programming skill, it could be challenging for some. But imagine about the demand of data roles lately that...See more"
33,WeCloudData,4.8/5,"""Best DATA bootcamp""",5,5,5,5,5,"Do you want to take a data science bootcamp? Ask me :) 
 My background is engineering, and I worked in oil and gas industry but had no experience in the field of data. 
 I have taken the WeCloudData bootcamp in May to August 2021. I can say, before attending the bootcamp I have talked with almost 20 alumni who have taken the WeCloudData bootcamp before and tracked their career path in LinkedIn. So, I kind of knew what the path looks like, but the way that I landed the Data science job was very...See more","- Real data project experience 
- Career support 
- Positive atmosphere 
- Well designed and comprehensive curriculum","- The only matter was that classes were online, but you have access to the recorded sessions so you can watch them again and wont face problem. "
34,WeCloudData,4.8/5,Very good learning experience,5,5,5,5,5,"What I really like about the Data Science program is that it makes every day being busy but fulfilling. I learned different technical skills during the lectures and had a lot of exercises to do to have a better understanding of the material. Whenever we finished a section, there would be a test or a project presentation. It was challenging and forced me to study seriously.
The real client projects are great. Based on different job responsibilities, the most common questions I have been asked...See more","The Instructors and TAs speak in a simple, effective manner so that I can grasp the overall concepts. I can always ask questions at any time, and they help me in a timely manner.
There is a 1-on-1 career mentoring after graduation to...See more","Compare with the 4 years' full-time degree, BootCamp covers a wide range of subjects is always difficult. It can be overwhelming at first, be prepared to fully dedicate yourself for the duration of your study."
35,WeCloudData,4.8/5,Very good experience,5,4,4,5,5,"I decided to take this course when I got a promotion that would give me the opportunity to migrate my career to the data engineering field. 
The course was really great a little too fast if you are not in a technical field already. You will need to study hard reviewing classes and making the labs and assignments but you always have the support of the TAs (they are awesome) or even the instructors and your own classmates that are always helping each other via Slack. You will learn how to create...See more","Shaohua, the instructors, and the TAs really care about your success, they will do everything they can to help you. Their support during and after the course is amazing.","It will be overwhelming! There is a lot to cover and many things will be very superficial then you will need to study by yourself. If you are not technical you will need to study much more, attending the classes is not enough.
The focus is...See more"
36,WeCloudData,4.8/5,What They Do is Beyond Teaching,5,5,5,5,5,"I'm writing this review to share my story with WeCloudData and how it helped me land a job in the Data Science industry. I have three friends who graduated from the program and they all have a decent data job right now, which left me a great first impression about this program while I was looking to switch my career to something more tech-oriented. The curriculum and materials are well-designed. It keeps you busy (yet not frustrated) for three months and immerses you in the data world to...See more","Well-designed curriculum and materials
Responsible Faculties
Guaranteed job support",Weaker connection with other students
37,WeCloudData,4.8/5,"By far, the best Data Science Bootcamp in Toronto!",5,5,5,5,5,"If It’s a career in Data Science that you want and are looking to entrust your career with an institution that gives you a bang for your buck, look no further than WCD. it’s a well-crafted syllabus suited to take on the biggest DS challenges in the real world, condensed into a 3-month bootcamp, and the invaluable work experience you gain through client projects, is all that you’d ever need set you up for success and to go on to enjoy a fulfilling Data Science Career. ","Real world Client projects on Data Science, Data Analytics, Machine Learning and AI.

Frequent guest lecturers by Top industry leaders in Banking, Consulting, AI, and tech provided incredible exposure on skills that recruiters look for and...See more",The curriculum has a 2 year Master's level program condensed into 3 months to give you the most relevant skills to make you job market ready. There can be times when you find yourself overwhelmed and feel you've bitten off more than you...See more
38,WeCloudData,4.8/5,A solid bootcamp,5,4,4,5,5,"I completed the Data Engineering bootcamp at Weclouddata and was fortunate to land a job approximately 1 month after graduating. I am technically a career-switcher, though I do have some non-tech experience from long ago.
First off, the instructors are people who currently work in industry and have plenty of experience. 
I’m glad that we had midterm and final projects to build data pipelines on the cloud (Amazon AWS) because that is the only way you can really learn. These projects have...See more","Instructors and TAs are very knowledgeable and truly do care about the students’ success
Corporate partnerships are crucial to give you real, relevant working experience
The organization has strong relationships with hiring managers and...See more","As with all bootcamps, the limited amount of time given to cover a wide range of subjects is always difficult. It can be overwhelming at first and you will need to quickly adapt. Lectures and labs can only provide you so much. Independent...See more"
39,WeCloudData,4.8/5,Overall great experience,5,5,5,5,5,"Completed Applied Data Engineering program and highly recommend it. This program provides a solid understanding of major big data and cloud platforms such as AWS/GCP, Hadoop, Spark, Kafka and many others. ","Great instructors, awesome learning material, challenging projects.","Can be overwhelming, you would need to dedicate time, I feel it was a bit disorganized but understandable as it is a brand new program and it will improve."
40,WeCloudData,4.8/5,Ready to take on the data science world!,5,4,5,5,5,"As a recent grad, I wasn't satisfied with my degree and felt a bit lost. After doing some research I realized I wanted to pursue data science. I considered many different boot camps, but I felt WeCloudData's program ""Applied Data Science and Big Data"" best served my learning goals. 

It's important to know that during and after the BootCamp, you really do have to put in the work. WeCloudData does a great job at setting the foundation for your data science path, but you have to work hard on your...See more","The program teaches you the fundamentals to be a great data scientist. The classes are small, allowing time for you to ask as many questions as you want. The TA's are extremely helpful and always willing to help. The projects were a great...See more","My only concern about the program was I wish TAs gave more detailed feedback on projects and presentations. You have to be proactive in getting more feedback. I also felt that some sections of the program were rushed, and saw myself...See more"
41,WeCloudData,4.8/5,An awesome school,5,5,5,5,5,The instructors not only teach you the necessary knowledge but also spent a lot of time helping you to land on a job. Also you gain actual job experience when in the bootcamp,"- The instructors have real work experience in data.
- There are bonus topics at the end of the curriculum.
- Gain real job experience from their client projects.",Sometimes there was too much content in one lecture and the instructor ran overtime
42,WeCloudData,4.8/5,The best data and AI school,5,5,5,5,5,"This is the best data and AI school available based on my assessment: can you get a job after completing the program? My answer is yes as I have personally found work each time I enrolled in one of their programs - I enrolled in data science and data engineering bootcamps.

Importantly, I came for the knowledge, but stayed for the community.","- Teaches you all the relevant topics and skills needed to get the job done in real world
- Projects, assignments and exercises to help you build up the muscle memory
- Extremely supportive team helping you land a job","- The bootcamp is intense and you will have to provide the focus, effort and time commitment
- It will feel overwhelming but it's worth it in the end"
43,WeCloudData,4.8/5,Good start for your Data Science life,5,5,5,5,5,"I was an Economics graduate and wondering about enhance my coding and modeling skills, so I joined the WCD DS Bootcamp. It was a wonderful experience","1. Course Format: SQL, Python, Tableau are very powerful tools in Data Science, really appreciate WCD include those in courses.
2. Real-Life Project: I did two projects here, such experience is really helpful, especially it teach me how to...See more",it could be better if the feedback of assignment can be provided quicker
44,WeCloudData,4.8/5,Best Bootcamp Forever,5,5,5,5,5,"WeCloudData helps me a lot for the past few years. I learned what is the data world looks like and how to live in this new world. Not only the instructors but also the alumni are super professional and supportive. Every time I want to feel confused about the next step on my career path, I can always find an answer here. If you are considering about move to the data industry, WeCloudData is your best choice forever.","1. Courses for people on different technical levels
2. Instructors with a lot of experience
3. Powerful career support 
4. Hands-on projects to enhance your experience",Coursework is a little bit intensive if you need to work at the same time.
45,WeCloudData,4.8/5,Best Bootcamp Forever,5,5,5,5,5,"WeCloudData helps me a lot for the past few years. I learned what is the data world looks like and how to live in this new world. Not only the instructors but also the alumni are super professional and supportive. Every time I want to feel confused about the next step on my career path, I can always find an answer here. If you are considering about move to the data industry, WeCloudData is your best choice forever.","1. Courses for people on different technical levels
2. Instructors with a lot of experience
3. Powerful career support 
4. Hands-on projects to enhance your experience",Coursework is a little bit intensive if you need to work at the same time.
46,WeCloudData,4.8/5,I Find Job,5,5,5,5,5,"1 Skills. Because WeCloudData design their course according the real companies' requirements, so the skill they provided are really practical. In this course, I systemically mastered the knowledge include Python, SQL, pandas, Machine Learning, Deep Learning, Spark, AWS, Linux, which are all the critical skills in job landing.

2 Insight of Data. Before WeCloudData, I have very few idea about data, and I even hate data and data tables, because it always make me confusing. But during the period...See more","1 Skills. Because WeCloudData design their course according the real companies' requirements, so the skill they provided are really practical. In this course, I systemically mastered the knowledge include Python, SQL, pandas, Machine...See more","The course are compacted, make me spend extra time on it."
47,WeCloudData,4.8/5,WeCloudData Changed My Life,5,5,5,5,5,"I write this review with gratitude, because WeCloudData did changed my career path and my life.

I'm right now working for a large data company as a Data Engineer. But before studying in WeCloudData, I have been spending for more than 2 year on job searching. It was really hard for a new immigrant without much technical working experience to land a job in Canada.  I even considered give up the life in Canada and return back to my home country. Just then, I took the Data Science Diploma cource...See more","1 Skills. Because WeCloudData design their course according the real companies' requirements, so the skill they provided are really practical. In this course, I systemically mastered the knowledge include Python, SQL, pandas, Machine...See more","The course are very compacted, it need many extra time to digest. 
"
48,WeCloudData,4.8/5,Never Felt Alone,5,5,5,5,5,"I completed the WeCloudData DS & Big Data Diploma Bootcamp as a Career switcher from with a non-stem background. After completion of the diploma I had the opportunity through WCD to work on projects as an intern with real world clients with their DS/DE teams.  The bootcamp + client project opportunity makes WCD the best value for career switchers. After completion of client projects, I was also provided with career support and a mentor (past alum) to help with job hunting. 

They provided prep....See more","Career Support, Client Projects, TA/Instructor Availability",Course was online which had its benefits but some students prefer in-person. 
49,WeCloudData,4.8/5,Nice bootcamp,5,5,5,5,5,Studied in 3 months full time data science program. did 2 external clients projects and 1 internal project. ,"Easy to understand courses, nice instructors, good experience with client project and some job referrals","Referrals comes not very frequently, but you will get interviews for sure, still up to you to make sure you have the required experience/skills which maybe not be taught during the program given its only 3 months."
50,WeCloudData,4.8/5,"Modern education, excellent staff, hands-on experience with real client projects",5,5,5,5,5,"Taking the full time applied data science and big data diploma program was the best decision I've made for my professional career. It's not cheap but you get what you pay for. The education is modern with an up to date curriculum and good equilibrium between theory and practice. Their staff do an excellent job and are very friendly and supportive, I never felt alone despite taking online classes, they care about their students and alumni. After all of this, you get to apply what you've learned...See more",Experience with real client projects - Great career support - Up to date curriculum - Qualified and friendly staff,"The program is very demanding if taken full time, as it should be."
51,WeCloudData,4.8/5,It is one of the best experiences in my life!,4,5,5,5,4,"I found this program while attending a meetup in Toronto shortly after my arrival as a landed immigrant. My original intention was to make some acquaintances in this industry in Toronto, but it turned out to be so much better than I thought! I had already known SQL and Python when I entered the program, so the main experience for me was the engineering part that is associated with real-world scenarios which repeatedly occurs in the life of a data scientist of all kinds, such as setting up proxy...See more","It was a banquet of delicious things, an assortment of little things, each of which deserves a life-long dedication if one is truly interested in it. These memories, advice and suggestions were revived again and again in my later industry...See more","It was a banquet that was ordered to be enjoyed within a short period of time, so indigestion, occasional intellectual heavy breathing and eventually separation anxiety were the unavoidable consequences."
52,WeCloudData,4.8/5,One of the best experiences of my life!,4,5,5,5,4,"I found the program while I was in a meetup soon after I arrived in Toronto as a landed immigrant. My original intention was to make some acquaintances in this industry, but it turns out to be so much better than I thought! I have been led into a comprehensive world with almost every important field regarding the professional life of a data scientist concatenated next to, above and below one another, and got in touch with real projects. For someone who has spent a decade in academia, this is...See more","It is a banquet of delicious things, an assortment of little things, each of which deserves a life-long dedication if one is truly interested in it. I am glad to have had a taste of each, whose memories were always brought back to me by...See more",It is a banquet that is ordered to be enjoyed under time pressure. Occasional intellectual heavy breathing and separation anxiety is an unavoidable outcome.
53,WeCloudData,4.8/5,My recommendation for anyone serious about switching careers into the data industry,5,5,5,5,5,"I was looking through and interviewed with several data science programs before I eventually landed in WCD. This includes the part-time programs at UofT, York and Ryerson as well as full-time DS programs at competing bootcamps (Brainstation, GE, LH, etc). I would say the material covered according to the program syllabus' was quite similar among these programs; however, I think the real-world client projects performed after the bootcamp concludes is what sets WCD apart for serious career...See more","- Likely the most comprehensive data science bootcamp in Toronto
- Only data science bootcamp that I am aware of that offers client projects ","- Bootcamp is 14 weeks (2 weeks longer than other major full-time bootcamps)
- Client projects require an additional few months of commitment once the bootcamp lectures conclude 
- Difficult to do bootcamp alongside full- or even part-time...See more"
54,WeCloudData,4.8/5,My recommendation for anyone serious about switching careers into the data industry,5,5,5,5,5,"I was looking through and interviewed with several data science programs before I eventually landed in WCD. This includes the part-time programs at UofT, York and Ryerson as well as full-time DS programs at competing bootcamps (Brainstation, GE, LH, etc). I would say the material covered according to the program syllabus' was quite similar among these programs; however, I think the real-world client projects performed after the bootcamp concludes is what sets WCD apart for serious career...See more","- Likely the most comprehensive DS program in Toronto
- Client projects offer real world experience on data science, data engineering and data analytical projects not available with other DS bootcamps","- 2 weeks longer than other major bootcamps due to more material covered (bootcamp only)
- Unlikely to be done alongside full-time or even part-time work if coming in with minimal technical expertise / coding experience 
- Need an...See more"
55,WeCloudData,4.8/5,1st Choice To Be A Data Scientist,5,5,5,5,5,"The courses for Applied Data Science and Big Data Diploma Program is the most valuable class that helping me to be an experienced Data Scientist from a Freshman of data. I even think why I didn't join this class as earlier as I can before. In this Bootcamp, I learned everything necessary to become a Data Specialist like SQL, Python, ML, Tableau, and Spark, etc. And what is really helpful for me are the real projects and career support, which helps me to find my ideal job only after three months...See more","Career Support, Many Real Projects",Amazing class. All good!
56,WeCloudData,4.8/5,I found my first job,5,5,5,5,5,"Before coming to WeCloudData, I learned database, web, oop, but they are just independent fields. After studying here and doing the real projects, I feel that I can connect all my knowledge fields into a pipeline and kind of built a blueprint in my head. This is really very valuable to me because now I am able to design the whole picture of my code, rather than just completing some mission blocks. The experience of a real project trained me to think from the big picture, involve my own design,...See more",Instructors are very knowledgeable and there will be projects opportunities. They help review the resume and prepare for interviews which are pretty helpful. There are also a lot of referral opportunities.,The learning portal needs to be improved. 
